user|item|rating
0|507696|90
0|137915|90
0|22757|90
0|120328|90
0|123025|90
0|131263|90
0|147073|80
0|175835|90
0|180037|90
0|192496|90
0|194044|90
0|205234|90
0|207030|90
0|208031|90
0|277277|90
0|295315|90
0|325346|90
0|392726|90
0|459622|90
0|461814|90
0|497792|90
0|507010|90
0|531386|80
0|578821|90
0|600770|80
0|608376|90
0|113323|50
0|127640|50
0|592747|70
0|26137|70
0|94522|0
0|193714|30
0|452599|50
0|522229|0
0|9101|90
0|112040|90
0|450906|90
0|453488|90
0|464229|90
0|393064|90
0|438303|0
1|1996|90
1|2255|90
1|10843|90
1|18260|90
1|18519|90
1|19106|90
1|21931|90
1|22757|90
1|23521|90
1|25311|90
1|34525|90
1|34947|90
1|39975|90
1|40476|90
1|41693|90
1|46539|90
1|46759|90
1|47888|90
1|55629|90
1|55971|90
1|56437|90
1|56970|90
1|67136|90
1|70896|90
1|71149|90
1|74262|90
1|75445|90
1|75757|90
1|79902|90
1|85222|90
1|95689|90
1|97762|90
1|102328|90
1|105502|90
1|111411|90
1|112273|90
1|112642|90
1|113017|90
1|119154|90
1|120328|90
1|121743|90
1|123025|90
1|123260|90
1|123601|80
1|124428|90
1|129462|90
1|131263|90
1|131721|90
1|134437|90
1|136867|90
1|137915|90
1|140118|90
1|142979|90
1|146781|90
1|147073|80
1|153097|90
1|153809|90
1|156663|90
1|158948|90
1|161901|90
1|173094|90
1|173301|90
1|175835|90
1|176588|90
1|179785|90
1|180037|90
1|180171|90
1|181079|90
1|182140|90
1|185095|90
1|185665|90
1|186098|90
1|188078|90
1|189820|90
1|190019|90
1|191809|90
1|192496|90
1|194044|90
1|195167|90
1|196203|90
1|196852|90
1|197656|90
1|199439|90
1|199467|90
1|200053|90
1|205234|90
1|205871|90
1|207030|90
1|210226|90
1|213829|90
1|219179|90
1|219322|90
1|222533|90
1|224051|90
1|225587|90
1|227064|90
1|230673|90
1|234212|90
1|235250|90
1|235966|90
1|237610|90
1|238223|90
1|248089|90
1|248550|90
1|248699|90
1|249902|90
1|254519|90
1|255153|90
1|257310|90
1|259552|90
1|261386|90
1|263294|90
1|269414|90
1|270248|90
1|275261|90
1|280245|90
1|283541|90
1|288237|90
1|288340|90
1|288560|90
1|294427|90
1|295315|90
1|297989|90
1|304287|90
1|310379|90
1|318345|90
1|318901|90
1|322770|90
1|323933|90
1|324045|90
1|325346|90
1|325936|90
1|327881|90
1|344617|90
1|349250|90
1|349771|90
1|354153|90
1|359811|90
1|361313|90
1|363219|90
1|366723|90
1|371598|90
1|375693|90
1|381411|90
1|383195|90
1|387522|90
1|390355|90
1|392726|90
1|393059|80
1|397543|90
1|397620|90
1|398037|90
1|402723|90
1|408557|90
1|410606|90
1|417011|90
1|418175|90
1|423102|90
1|425182|90
1|428598|90
1|431048|90
1|436056|90
1|440749|90
1|440901|90
1|442074|90
1|445735|90
1|451800|90
1|453396|90
1|454149|90
1|454436|90
1|457354|90
1|457583|90
1|459622|90
1|460065|90
1|463859|90
1|466895|90
1|470248|90
1|477870|90
1|481274|90
1|482069|90
1|488803|90
1|489371|90
1|490684|90
1|490754|90
1|491417|90
1|491757|90
1|492607|90
1|493655|90
1|497792|90
1|502177|90
1|503258|90
1|504528|90
1|507010|90
1|507696|90
1|514730|90
1|516754|90
1|517718|90
1|521369|90
1|528144|90
1|532453|90
1|532569|90
1|534596|90
1|539126|90
1|540934|90
1|541988|90
1|543790|90
1|546722|90
1|546992|90
1|548098|90
1|550452|90
1|553890|90
1|556366|90
1|556458|90
1|558154|90
1|566644|90
1|567378|90
1|567726|90
1|568182|90
1|569179|90
1|569785|90
1|574204|90
1|577309|90
1|578821|90
1|580720|90
1|583090|90
1|583222|90
1|587636|90
1|591590|90
1|601402|90
2|238557|90
2|115200|100
2|176889|100
2|329058|100
2|456895|100
2|475878|100
2|5237|100
2|12332|100
2|29323|100
2|57791|100
2|99935|100
2|258003|100
2|377333|100
2|510603|100
2|533639|100
2|188675|100
2|268555|100
2|488564|100
2|48916|100
2|180618|100
2|316815|100
2|333784|100
2|507377|100
2|532650|100
2|27499|100
2|43628|100
2|78477|100
2|92450|100
2|182489|100
2|242450|100
2|296155|100
2|364374|100
2|387982|100
2|428863|100
2|16249|100
2|66765|100
2|210761|100
2|217921|100
2|319866|100
2|342087|100
2|402792|100
2|525951|100
2|528002|100
2|557544|100
2|602243|100
2|367509|100
2|17863|0
2|21683|0
2|57422|0
2|61148|0
2|85012|100
2|92066|0
2|103338|0
2|119752|0
2|120443|0
2|121082|100
2|142902|0
2|145897|0
2|155330|0
